	hin	eng	hin_id	eng_id	hin_gloss	eng_gloss	hin_ex	eng_ex	ign
10010	अवस्था_3	age_1	27670	248026	* उदासी या उत्तेजना की अवस्था	['grow old or older']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['She aged gracefully', 'we age every day--what a depressing thought!', 'Young men senesce']	True
10011	अवस्था_3	age_1	27670	15153787	* उदासी या उत्तेजना की अवस्था	['a late time of life']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10012	अवस्था_3	age_1	3159	15242955	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['a prolonged period of time']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10013	अवस्था_3	age_1	3159	15153787	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['a late time of life']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10014	अवस्था_3	age_1	3159	15242955	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['a prolonged period of time']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10015	अवस्था_3	age_1	3159	15145171	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['a time in life (usually defined in years) at which some particular qualification or power arises']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['she was now of school age', 'tall for his eld']	True
10016	अवस्था_3	age_1	3159	15254028	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['an era of history having some distinctive feature']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['we live in a litigious age']	True
10017	अवस्था_3	age_1	3159	248026	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['grow old or older']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['She aged gracefully', 'we age every day--what a depressing thought!', 'Young men senesce']	True
10018	अवस्था_3	age_1	3159	15153787	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['a late time of life']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10019	अवस्था_3	age_1	5544	15242955	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['a prolonged period of time']	"""मनोहर की जवानी ढलने लगी है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10020	अवस्था_3	age_1	5544	15153787	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['a late time of life']	"""मनोहर की जवानी ढलने लगी है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10021	अवस्था_3	age_1	5544	15242955	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['a prolonged period of time']	"""मनोहर की जवानी ढलने लगी है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10022	अवस्था_3	age_1	5544	15145171	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['a time in life (usually defined in years) at which some particular qualification or power arises']	"""मनोहर की जवानी ढलने लगी है ।"""	['she was now of school age', 'tall for his eld']	True
10023	अवस्था_3	age_1	5544	15254028	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['an era of history having some distinctive feature']	"""मनोहर की जवानी ढलने लगी है ।"""	['we live in a litigious age']	True
10024	अवस्था_3	age_1	5544	248026	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['grow old or older']	"""मनोहर की जवानी ढलने लगी है ।"""	['She aged gracefully', 'we age every day--what a depressing thought!', 'Young men senesce']	True
10025	अवस्था_3	age_1	5544	15153787	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['a late time of life']	"""मनोहर की जवानी ढलने लगी है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10026	अवस्था_3	age_1	652	15242955	किसी विषय, बात या घटना की कोई विशेष स्थिति	['a prolonged period of time']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10027	अवस्था_3	age_1	652	15153787	किसी विषय, बात या घटना की कोई विशेष स्थिति	['a late time of life']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10028	अवस्था_3	age_1	652	15242955	किसी विषय, बात या घटना की कोई विशेष स्थिति	['a prolonged period of time']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10029	अवस्था_3	age_1	652	15145171	किसी विषय, बात या घटना की कोई विशेष स्थिति	['a time in life (usually defined in years) at which some particular qualification or power arises']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['she was now of school age', 'tall for his eld']	True
10030	अवस्था_3	age_1	652	15254028	किसी विषय, बात या घटना की कोई विशेष स्थिति	['an era of history having some distinctive feature']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['we live in a litigious age']	True
10031	अवस्था_3	age_1	652	248026	किसी विषय, बात या घटना की कोई विशेष स्थिति	['grow old or older']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['She aged gracefully', 'we age every day--what a depressing thought!', 'Young men senesce']	True
10032	अवस्था_3	age_1	652	15153787	किसी विषय, बात या घटना की कोई विशेष स्थिति	['a late time of life']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10033	अवस्था_3	age_1	11248	15242955	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['a prolonged period of time']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10034	अवस्था_3	age_1	11248	15153787	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['a late time of life']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10035	अवस्था_3	age_1	11248	15242955	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['a prolonged period of time']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	"[""we' ve known each other for ages"", ""I haven' t been there for years and years""]"	True
10036	अवस्था_3	age_1	11248	15145171	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['a time in life (usually defined in years) at which some particular qualification or power arises']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['she was now of school age', 'tall for his eld']	True
10037	अवस्था_3	age_1	11248	15254028	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['an era of history having some distinctive feature']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['we live in a litigious age']	True
10038	अवस्था_3	age_1	11248	248026	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['grow old or older']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['She aged gracefully', 'we age every day--what a depressing thought!', 'Young men senesce']	True
10039	अवस्था_3	age_1	11248	15153787	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['a late time of life']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	"['old age is not for sissies', ""he' s showing his years"", ""age hasn' t slowed him down at all"", 'a beard white with eld', 'on the brink of geezerhood']"	True
10040	अवस्था_4	stage_1	1588	4296562	मन की अवस्था	['a large platform on which people can stand and can be seen by an audience']	"""उसकी मानसिक अवस्था अभी ठीक नहीं है ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10041	अवस्था_4	stage_1	1588	1711445	मन की अवस्था	['perform (a play), especially on a stage']	"""उसकी मानसिक अवस्था अभी ठीक नहीं है ।"""	"[""we are going to stage `Othello' ""]"	True
10042	अवस्था_4	stage_1	1588	1648126	मन की अवस्था	['plan, organize, and carry out (an event)']	"""उसकी मानसिक अवस्था अभी ठीक नहीं है ।"""	['the neighboring tribe staged an invasion']	True
10043	अवस्था_4	stage_1	1588	1648126	मन की अवस्था	['plan, organize, and carry out (an event)']	"""उसकी मानसिक अवस्था अभी ठीक नहीं है ।"""	['the neighboring tribe staged an invasion']	True
10044	अवस्था_4	stage_1	1588	15290337	मन की अवस्था	['any distinct time period in a sequence of events']	"""उसकी मानसिक अवस्था अभी ठीक नहीं है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10045	अवस्था_4	stage_1	26750	4296562	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['a large platform on which people can stand and can be seen by an audience']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10046	अवस्था_4	stage_1	26750	1711445	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['perform (a play), especially on a stage']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	"[""we are going to stage `Othello' ""]"	True
10047	अवस्था_4	stage_1	26750	1648126	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['plan, organize, and carry out (an event)']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['the neighboring tribe staged an invasion']	True
10048	अवस्था_4	stage_1	26750	1648126	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['plan, organize, and carry out (an event)']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['the neighboring tribe staged an invasion']	True
10049	अवस्था_4	stage_1	26750	15290337	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['any distinct time period in a sequence of events']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10050	अवस्था_4	stage_1	27670	4296562	* उदासी या उत्तेजना की अवस्था	['a large platform on which people can stand and can be seen by an audience']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10051	अवस्था_4	stage_1	27670	1711445	* उदासी या उत्तेजना की अवस्था	['perform (a play), especially on a stage']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	"[""we are going to stage `Othello' ""]"	True
10052	अवस्था_4	stage_1	27670	1648126	* उदासी या उत्तेजना की अवस्था	['plan, organize, and carry out (an event)']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['the neighboring tribe staged an invasion']	True
10053	अवस्था_4	stage_1	27670	1648126	* उदासी या उत्तेजना की अवस्था	['plan, organize, and carry out (an event)']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['the neighboring tribe staged an invasion']	True
10054	अवस्था_4	stage_1	27670	15290337	* उदासी या उत्तेजना की अवस्था	['any distinct time period in a sequence of events']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10055	अवस्था_4	stage_1	3159	4296562	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['a large platform on which people can stand and can be seen by an audience']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10056	अवस्था_4	stage_1	3159	1711445	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['perform (a play), especially on a stage']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	"[""we are going to stage `Othello' ""]"	True
10057	अवस्था_4	stage_1	3159	1648126	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['plan, organize, and carry out (an event)']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['the neighboring tribe staged an invasion']	True
10058	अवस्था_4	stage_1	3159	1648126	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['plan, organize, and carry out (an event)']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['the neighboring tribe staged an invasion']	True
10059	अवस्था_4	stage_1	3159	15290337	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['any distinct time period in a sequence of events']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10060	अवस्था_4	stage_1	5544	4296562	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['a large platform on which people can stand and can be seen by an audience']	"""मनोहर की जवानी ढलने लगी है ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10061	अवस्था_4	stage_1	5544	1711445	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['perform (a play), especially on a stage']	"""मनोहर की जवानी ढलने लगी है ।"""	"[""we are going to stage `Othello' ""]"	True
10062	अवस्था_4	stage_1	5544	1648126	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['plan, organize, and carry out (an event)']	"""मनोहर की जवानी ढलने लगी है ।"""	['the neighboring tribe staged an invasion']	True
10063	अवस्था_4	stage_1	5544	1648126	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['plan, organize, and carry out (an event)']	"""मनोहर की जवानी ढलने लगी है ।"""	['the neighboring tribe staged an invasion']	True
10064	अवस्था_4	stage_1	5544	15290337	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['any distinct time period in a sequence of events']	"""मनोहर की जवानी ढलने लगी है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10065	अवस्था_4	stage_1	652	4296562	किसी विषय, बात या घटना की कोई विशेष स्थिति	['a large platform on which people can stand and can be seen by an audience']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10066	अवस्था_4	stage_1	652	1711445	किसी विषय, बात या घटना की कोई विशेष स्थिति	['perform (a play), especially on a stage']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	"[""we are going to stage `Othello' ""]"	True
10067	अवस्था_4	stage_1	652	1648126	किसी विषय, बात या घटना की कोई विशेष स्थिति	['plan, organize, and carry out (an event)']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['the neighboring tribe staged an invasion']	True
10068	अवस्था_4	stage_1	652	1648126	किसी विषय, बात या घटना की कोई विशेष स्थिति	['plan, organize, and carry out (an event)']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['the neighboring tribe staged an invasion']	True
10069	अवस्था_4	stage_1	652	15290337	किसी विषय, बात या घटना की कोई विशेष स्थिति	['any distinct time period in a sequence of events']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10070	अवस्था_4	stage_1	11248	4296562	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['a large platform on which people can stand and can be seen by an audience']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['he clambered up onto the stage and got the actors to help him into the box']	True
10071	अवस्था_4	stage_1	11248	1711445	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['perform (a play), especially on a stage']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	"[""we are going to stage `Othello' ""]"	True
10072	अवस्था_4	stage_1	11248	1648126	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['plan, organize, and carry out (an event)']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['the neighboring tribe staged an invasion']	True
10073	अवस्था_4	stage_1	11248	1648126	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['plan, organize, and carry out (an event)']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['the neighboring tribe staged an invasion']	True
10074	अवस्था_4	stage_1	11248	15290337	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['any distinct time period in a sequence of events']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10075	अवस्था_5	phase_1	1588	15290337	मन की अवस्था	['any distinct time period in a sequence of events']	"""उसकी मानसिक अवस्था अभी ठीक नहीं है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10076	अवस्था_5	phase_1	26750	15290337	रसायन विज्ञान में मानी हुई वह तीन अवस्था जिसमें सभी पदार्थ समाहित हैं	['any distinct time period in a sequence of events']	"""पदार्थ ठोस, द्रव और गैस इन तीन अवस्थाओं में पाया जाता है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10077	अवस्था_5	phase_1	27670	15290337	* उदासी या उत्तेजना की अवस्था	['any distinct time period in a sequence of events']	"""वह इस समय ऐसी अवस्था में है कि उससे तर्क करना ठीक नहीं ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10078	अवस्था_5	phase_1	3159	15290337	जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल	['any distinct time period in a sequence of events']	"""श्याम मुझसे उम्र में दो साल बड़ा है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10079	अवस्था_5	phase_1	5544	15290337	बाल्यावस्था और वृद्धावस्था के बीच की अवस्था या जवान होने की अवस्था	['any distinct time period in a sequence of events']	"""मनोहर की जवानी ढलने लगी है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10080	अवस्था_5	phase_1	652	15290337	किसी विषय, बात या घटना की कोई विशेष स्थिति	['any distinct time period in a sequence of events']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10081	अवस्था_5	phase_1	11248	15290337	वह अवस्था जिसमें सब बातों का परिज्ञान होता रहता है	['any distinct time period in a sequence of events']	"""जागृत में ही हमें इंद्रिय ज्ञान होता है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10082	अवस्थान_1	phase_2	1546	15290337	वह स्थान जहाँ यात्रियों को छोड़ने या ले जाने के लिए रेलगाड़ी आकर रुकती है	['any distinct time period in a sequence of events']	"""वह सारनाथ जाने के लिए वाराणसी रेलवे स्टेशन पर ही उतर गया ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10083	अवस्थान_1	phase_2	1901	15290337	मनुष्यों द्वारा छाया हुआ वह स्थान, जो दीवारों से घेरकर रहने के लिए बनाया जाता है	['any distinct time period in a sequence of events']	"""इस घर में पाँच कमरे हैं । / विधवा मंगला नारी निकेतन में रहती है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10084	अवस्थान_1	phase_2	2761	15290337	वह स्थान जहाँ कोई रहता हो	['any distinct time period in a sequence of events']	"""स्वच्छ और हवादार आवास स्वास्थ्य के लिए लाभदायक होता है। / यह पेड़ ही इन पक्षियों का बसेरा है। / कई लोग ऐसे हैं जिनके पास छत नहीं है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10085	अवस्थान_1	phase_2	652	15290337	किसी विषय, बात या घटना की कोई विशेष स्थिति	['any distinct time period in a sequence of events']	"""क्रोध की अवस्था में किया गया काम ठीक नहीं होता । / उसकी क्या गति हो गई है ।"""	['we are in a transitional stage in which many former ideas must be revised or rejected']	True
10086	अवास्तविक_3	false_3	249	2182088	जो वास्तविक न हो	['deliberately deceptive']	"""वह काल्पनिक बातें सबको सुनाता रहता है ।"""	['hollow (or false) promises', 'false pretenses']	True
10087	अवास्तविक_3	false_3	249	1573238	जो वास्तविक न हो	['not genuine or real', ' being an imitation of the genuine article']	"""वह काल्पनिक बातें सबको सुनाता रहता है ।"""	"[""it isn' t fake anything; it' s real synthetic fur"", 'faux pearls', 'false teeth', 'decorated with imitation palm leaves', 'a purse of simulated alligator hide']"	True
10088	अवास्तविक_3	false_3	788	2182088	जो असत्यता से भरा हुआ हो	['deliberately deceptive']	"""गवाह के झूठे बयान से निर्दोष को फाँसी की सजा हुई । / झूठ बात मत बोलो ।"""	['hollow (or false) promises', 'false pretenses']	True
10089	अवास्तविक_3	false_3	788	1573238	जो असत्यता से भरा हुआ हो	['not genuine or real', ' being an imitation of the genuine article']	"""गवाह के झूठे बयान से निर्दोष को फाँसी की सजा हुई । / झूठ बात मत बोलो ।"""	"[""it isn' t fake anything; it' s real synthetic fur"", 'faux pearls', 'false teeth', 'decorated with imitation palm leaves', 'a purse of simulated alligator hide']"	True
10090	अवस्थिति_1	persistence_3	8386	4864515	पद, मर्यादा आदि के विचार से समाज में किसी व्यक्ति, संस्था आदि की वह विधिक स्थिति जो अपने क्षेत्र में कुछ निश्चित सीमा में प्राप्त होती है	['persistent determination']	"""किसी की स्थिति उसकी मर्यादा, पद, सम्मान आदि का सूचक होती है ।"""	[]	True
10091	अवस्थिति_1	persistence_3	8386	4864515	पद, मर्यादा आदि के विचार से समाज में किसी व्यक्ति, संस्था आदि की वह विधिक स्थिति जो अपने क्षेत्र में कुछ निश्चित सीमा में प्राप्त होती है	['persistent determination']	"""किसी की स्थिति उसकी मर्यादा, पद, सम्मान आदि का सूचक होती है ।"""	[]	True
10092	आवश्यक_3	binding_1	1092	2840619	जिसकी ज़रूरत या आवश्यकता हो	['the protective covering on the front, back, and spine of a book']	"""वह कुछ आवश्यक काम करने के लिए शहर गया है । / आपको ऐसा करना लाज़िमी नहीं है । / यह बादशाह का ताकीदी हुक्म है ।"""	['the book had a leather binding']	True
10093	आवश्यक_3	binding_1	1092	696882	जिसकी ज़रूरत या आवश्यकता हो	['the act of applying a bandage']	"""वह कुछ आवश्यक काम करने के लिए शहर गया है । / आपको ऐसा करना लाज़िमी नहीं है । / यह बादशाह का ताकीदी हुक्म है ।"""	[]	True
10094	आवश्यक_3	binding_1	1092	2840619	जिसकी ज़रूरत या आवश्यकता हो	['the protective covering on the front, back, and spine of a book']	"""वह कुछ आवश्यक काम करने के लिए शहर गया है । / आपको ऐसा करना लाज़िमी नहीं है । / यह बादशाह का ताकीदी हुक्म है ।"""	['the book had a leather binding']	True
10095	आवश्यक_3	binding_1	351	2840619	जो अति आवश्यक हो	['the protective covering on the front, back, and spine of a book']	"""यह अत्यावश्यक कार्य है ।"""	['the book had a leather binding']	True
10096	आवश्यक_3	binding_1	351	696882	जो अति आवश्यक हो	['the act of applying a bandage']	"""यह अत्यावश्यक कार्य है ।"""	[]	True
10097	आवश्यक_3	binding_1	351	2840619	जो अति आवश्यक हो	['the protective covering on the front, back, and spine of a book']	"""यह अत्यावश्यक कार्य है ।"""	['the book had a leather binding']	True
10098	आवश्यक_3	binding_1	1092	2840619	जिसकी ज़रूरत या आवश्यकता हो	['the protective covering on the front, back, and spine of a book']	"""वह कुछ आवश्यक काम करने के लिए शहर गया है । / आपको ऐसा करना लाज़िमी नहीं है । / यह बादशाह का ताकीदी हुक्म है ।"""	['the book had a leather binding']	True
