	conc_label_wx	conc_label_utf	conc_in_eng	mrs_conc
70	aMkuSa+mAra_1	अंकुश+मार_1	goad_6	udef_q
71	aMkuSa+mAra_2	अंकुश+मार_2	goad_7	_goad/NN_u_unknown
72	aMkuSa+lagA_1	अंकुश+लगा_1	goad_8	udef_q
73	aMkuSa+lagA_2	अंकुश+लगा_2	goad_9	_goad/NN_u_unknown
74	aMkuSa+ko_1	अंकुश+को_1	goad_10	udef_q
75	aMkuSa+ko_2	अंकुश+को_2	goad_11	_goad/NN_u_unknown
76	azkusI_1	अँकुसी_1	hook_1	_hook_n_1
77	azkusI_2	अँकुसी_2	poker_1	_poker_n_1
78	azkora_1	अँकोर_1	embrace_4	_embrace_v_1
79	azkora_2	अँकोर_2	dry_1	_dry_v_1
80	azKuA_2	अँखुआ_2	shoot_3	_shoot_n_1
81	aMga_8	अंग_8	genre_1	_genre/NN_u_unknown
82	aMga+goxa_1	अंग+गोद_1	tattoo_1	udef_q
83	aMga+goxa_2	अंग+गोद_2	tattoo_2	_tattoo/NN_u_unknown
84	aMga+kA_1	अंग+का_1	tattoo_3	udef_q
85	aMga+kA_2	अंग+का_2	tattoo_4	_tattoo/NN_u_unknown
86	aMga+modZa_1	अंग+मोड़_1	turn_1	_turn_v_1
87	aMga+lagA_1	अंग+लगा_1	embrace_5	_embrace_v_1
88	aMga-GAta_1	अंग-घाट_1	paralysis_1	_paralysis/NN_u_unknown
89	aMgaja˚A_1	अंगज˚आ_1	daughter_1	_daughter_n_1
90	aMgajAwa_1	अंगजात_1	m_1	_meter_n_1
91	aMgajAwa_2	अंगजात_2	son_1	_son_n_of
92	aMgajAwa˚A_1	अंगजात˚आ_1	daughter_2	_daughter_n_1
93	aMgaBUwa_3	अंगभूत_3	incorporated_1	_incorporate_v_1
94	aMgaBUwa_4	अंगभूत_4	incorporated_2	parg_d
95	aMga-rakRaka_1	अंग-रक्षक_1	bodyguard_1	_bodyguard_n_1
96	aMgIkaraNa_1	अंगीकरण_1	agreement_1	_agreement_n_1
97	aMgIkaraNa_2	अंगीकरण_2	acceptance_1	_acceptance_n_1
98	aMgIkAra_4	अंगीकार_4	assent_1	_assent_v_1
99	aMgIkAra_5	अंगीकार_5	admit_1	_admit_v_to
100	aMga+kara_1	अंग+कर_1	admit_2	_admit_v_to
101	aMgIkqwa_1	अंगीकृत_1	accepted_1	_accept_v_1
102	aMgIkqwa_2	अंगीकृत_2	accepted_2	parg_d
103	aMgadZa-KaMgadZa_1	अंगड़-खंगड़_1	rubbish_1	udef_q
104	aMgadZa-KaMgadZa_2	अंगड़-खंगड़_2	rubbish_2	_rubbish_n_1
105	aMgadZa-KaMgadZa_3	अंगड़-खंगड़_3	rundown_1	_rundown/JJ_u_unknown
106	aMgadZa-KaMgadZa_4	अंगड़-खंगड़_4	dilapidated_1	_dilapidated/JJ_u_unknown
107	azgadZAI+le_1	अँगड़ाई+ले_1	twist_1	_twist_v_1
108	azgadZA_1	अँगड़ा_1	stretch_1	_stretch_v_1
109	azgadZAnA_1	अँगड़ाना_1	limbs_1	_limb_n_1
110	aMganA_1	अंगना_1	woman_1	_woman_n_1
111	aMgaleta_2	अंगलेट_2	physique_1	_physique/NN_u_unknown
112	aMgArA_1	अंगारा_1	cinder_1	_statue_n_1
113	aMgArA_2	अंगारा_2	raging_1	_rage_v_1
114	aMgArA_3	अंगारा_3	raging_2	nominalization
115	aMgArA+aMgAre+kA+kIdZA_1	अंगारा+अंगारे+का+कीड़ा_1	salamander_1	_salamander/NN_u_unknown
116	aMgArI_1	अंगारी_1	brazier_1	_rebirth/NN_u_unknown
117	aMgArI_2	अंगारी_2	scintilla_1	_assertion_n_of
118	aMgI_5	अंगी_5	leading_1	_lead_v_1
119	azgITI_3	अँगीठी_3	brazier_2	_brazier/NN_u_unknown
120	aMguli-CApa_1	अंगुलि-छाप_1	fingerprint_1	_fingerprint_n_1
121	aMguSwa_2	अंगुश्त_2	vilified_1	_vilified/NN_u_unknown
122	aMguSwanumA_1	अंगुश्तनुमा_1	vilified_2	_vilified/NN_u_unknown
123	aMguRTa_1	अंगुष्ठ_1	thumb_1	_thumb_n_1
124	azgUTA+cUma_1	अँगूठा+चूम_1	grovel_1	_grovel/VB_u_unknown
125	azgUTA+cUma_2	अँगूठा+चूम_2	toady_1	udef_q
126	azgUTA+cUma_3	अँगूठा+चूम_3	toady_2	_toady/NN_u_unknown
127	azgUra_1	अँगूर_1	sprout_1	_sprout_n_1
128	azgUra_2	अँगूर_2	shoot_4	_shoot_n_1
129	azgorA_1	अँगोरा_1	mosquito_1	_mosquito_n_1
130	azgrejZI_1	अँग्रेज़ी_1	British_1	_british_n_1
131	aMcala_2	अंचल_2	zone_1	_zone_n_of
132	aMjana_2	अंजन_2	lampblack_1	udef_q
133	aMjana_3	अंजन_3	lampblack_2	_lampblack/NN_u_unknown
134	aMjanakeSa_1	अंजनकेश_1	blackhaired_1	_blackhaired/VBN_u_unknown
135	aMjanakeSa_2	अंजनकेश_2	blackhaired_2	parg_d
136	aMjanI_1	अंजनी_1	woman_2	_woman_n_1
137	aMjanI-kumAra_1	अंजनी-कुमार_1	m_2	_meter_n_1
138	aMjAma_4	अंजाम_4	conclusion_1	_conclusion_n_of
139	aMjAma_5	अंजाम_5	upshot_1	_upshot_n_of
140	aMjAma+ko_1	अंजाम+को_1	finish_1	_finish_v_1
141	azjorA_1	अँजोरा_1	bright_1	_bright_a_1
142	aMJA_1	अंझा_1	postponement_1	_postponement_n_of
143	aMta+kI+saMta_1	अंट+की+संट_1	inappropriate_1	_inappropriate_a_for
144	aztavA_1	अँटवा_1	cram_1	_cram_v_1
145	aMtI+kara_1	अंटी+कर_1	wind_1	_wind_v_1
146	aMda-katAha_1	अंड-कटाह_1	world_1	_world_n_of
147	aMda-koSa_1	अंड-कोश_1	scrotum_1	_scrotum/NN_u_unknown
148	aMda-koSa_2	अंड-कोश_2	transrupture_1	_transrupture/NN_u_unknown
149	aMda-koSa_3	अंड-कोश_3	hernia_1	_hernia/NN_u_unknown
150	aMda+koRa_1	अंड+कोष_1	muskbag_1	_muskbag/NN_u_unknown
151	aMda+koRa_2	अंड+कोष_2	hernia_2	_hernia/NN_u_unknown
152	aMdaja_1	अंडज_1	eggborn_1	_eggborn/JJ_u_unknown
153	aMdaja_2	अंडज_2	fish_1	udef_q
154	aMdaja_3	अंडज_3	fish_2	_fish_n_1
155	aMda-vqwwa_1	अंड-वृत्त_1	ellipse_1	_ellipse/NN_u_unknown
156	aMdASaya_1	अंडाशय_1	ovaries_1	_ovary_n_1
157	aMda-baMda_3	अंड-बंड_3	incoherent_1	_incoherent_a_1
158	aMdA+aMde+kA+SahajZAxA_1	अंडा+अंडे+का+शहज़ादा_1	greenhorn_1	_greenhorn/NN_u_unknown
159	aMdA-sA_1	अंडा-सा_1	elliptical_1	_obstruct_v_1
160	aMdA-sA_2	अंडा-सा_2	elliptical_2	parg_d
161	aMdA+aMde-bacce_1	अंडा+अंडे-बच्चे_1	brood_1	_brood_n_1
162	aMwa-+aMwaHkaraNa_1	अंत-+अंतःकरण_1	mind_1	_mind_n_1
163	aMwa-+aMwaHkaraNa_2	अंत-+अंतःकरण_2	conscience_1	_conscience_n_1
164	aMwa-+aMwaHkAlIna_1	अंत-+अंतःकालीन_1	provisional_1	_provisional_a_1
165	aMwa-+aMwaHkAlIna_2	अंत-+अंतःकालीन_2	temporary_1	_temporary_a_1
166	aMwa-+aMwaHpura_1	अंत-+अंतःपुर_1	house_1	_house_n_of
167	aMwa-+aMwaHprawyaya_1	अंत-+अंतःप्रत्यय_1	m_3	_meter_n_1
168	aMwa-+aMwaHsalila_1	अंत-+अंतःसलिल_1	subterranean_1	_subterranean_a_1
169	aMwa-+aMwaHsWiwa_1	अंत-+अंतःस्थित_1	internal_1	_internal_a_1
170	aMwa_7	अंत_7	completion_1	_completion_n_of
171	aMwa_8	अंत_8	outskirts_1	_outskirts_n_1
172	aMwa_9	अंत_9	death_1	_death_n_1
173	aMwa_10	अंत_10	destruction_1	_destruction_n_of
174	aMwa_11	अंत_11	essence_1	_essence_n_1
175	aMwa_12	अंत_12	soul_1	_soul_n_1
176	aMwa_13	अंत_13	heart_1	_heart_n_1
177	aMwa_14	अंत_14	mind_2	_mind_n_1
178	aMwa+kA_1	अंत+का_1	complete_1	_complete_a_with
179	aMwa+le_1	अंत+ले_1	worry_1	_worry_v_1
180	aMwa-karma_1	अंत-कर्म_1	death_2	_death_n_1
181	aMwa-gawi_1	अंत-गति_1	death_3	_death_n_1
182	aMwawogawvA_3	अंततोगत्वा_3	finally_1	_final_a_1
183	azwadZI_1	अँतड़ी_1	vitals_1	_vitals/NNS_u_unknown
184	aMwar-_1	अंतर्-_1	intermediate_1	_intermediate_n_1
185	aMwar-+aMwaraMga_1	अंतर्-+अंतरंग_1	internal_2	_internal_a_1
186	aMwar-+aMwarAyaNa_1	अंतर्-+अंतरायण_1	internment_1	_internment/NN_u_unknown
187	aMwar-+aMwarAla_1	अंतर्-+अंतराल_1	internal_3	_internal_a_1
188	aMwar-+aMwarIpa_1	अंतर्-+अंतरीप_1	island_1	_island_n_1
189	aMwar-+aMwargawa_1	अंतर्-+अंतर्गत_1	internal_4	_internal_a_1
190	aMwar-+aMwargawa_2	अंतर्-+अंतर्गत_2	hidden_1	_hide_v_away
191	aMwar-+aMwargawa_3	अंतर्-+अंतर्गत_3	hidden_2	parg_d
192	aMwar-+aMwargraswa_1	अंतर्-+अंतर्ग्रस्त_1	involved_1	_involved_a_1
193	aMwar-+aMwarjAwa_1	अंतर्-+अंतर्जात_1	innate_1	_innate_a_1
194	aMwar-+aMwarjFAna_1	अंतर्-+अंतर्ज्ञान_1	intuition_1	_intuition_n_1
195	aMwar-+aMwarxAha_1	अंतर्-+अंतर्दाह_1	remorse_1	_remorse/NN_u_unknown
196	aMwar-+aMwarxAha_2	अंतर्-+अंतर्दाह_2	heat_1	_heat_n_1
197	aMwar-+aMwarxeSIya_1	अंतर्-+अंतर्देशीय_1	inland_1	loc_nonsp
198	aMwar-+aMwarxeSIya_2	अंतर्-+अंतर्देशीय_2	inland_2	place_n
199	aMwar-+aMwarxeSIya_3	अंतर्-+अंतर्देशीय_3	inland_3	def_implicit_q
200	aMwar-+aMwarxeSIya_4	अंतर्-+अंतर्देशीय_4	inland_4	_inland_a_1
201	aMwar-+aMwarxeSIya_5	अंतर्-+अंतर्देशीय_5	internal_5	_internal_a_1
202	aMwar-+aMwarxvaMxva_1	अंतर्-+अंतर्द्वंद्व_1	state_1	_state_n_of
203	aMwar-+aMwarXAna_1	अंतर्-+अंतर्धान_1	concealment_1	udef_q
204	aMwar-+aMwarXAna_2	अंतर्-+अंतर्धान_2	concealment_2	_concealment_n_1
205	aMwar-+aMwarXAna_3	अंतर्-+अंतर्धान_3	disappeared_1	udef_q
206	aMwar-+aMwarXAna_4	अंतर्-+अंतर्धान_4	disappeared_2	_fabrication_n_of
207	aMwar-+aMwarXAna_5	अंतर्-+अंतर्धान_5	secret_1	_secret_a_1
208	aMwar-+aMwarniviRta_1	अंतर्-+अंतर्निविष्ट_1	permeated_1	_permeate_v_1
209	aMwar-+aMwarniviRta_2	अंतर्-+अंतर्निविष्ट_2	permeated_2	parg_d
210	aMwar-+aMwarnihiwa_1	अंतर्-+अंतर्निहित_1	engulfed_1	_engulfed/VBN_u_unknown
211	aMwar-+aMwarnihiwa_2	अंतर्-+अंतर्निहित_2	engulfed_2	parg_d
212	aMwar-+aMwarpata_1	अंतर्-+अंतर्पट_1	covering_1	_covering_n_1
213	aMwar-+aMwarpata_2	अंतर्-+अंतर्पट_2	screen_1	_screen_n_1
214	aMwar-+aMwarpata_3	अंतर्-+अंतर्पट_3	curtain_1	_curtain_n_1
215	aMwar-+aMwarBAva_1	अंतर्-+अंतर्भाव_1	inclusion_1	_inclusion_n_1
216	aMwar-+aMwarBAva˚nA˚BAviwa_1	अंतर्-+अंतर्भाव˚ना˚भावित_1	included_1	_include_v_1
217	aMwar-+aMwarBAva˚nA˚BAviwa_2	अंतर्-+अंतर्भाव˚ना˚भावित_2	included_2	parg_d
218	aMwar-+aMwarBUwa_1	अंतर्-+अंतर्भूत_1	included_3	_include_v_1
219	aMwar-+aMwarBUwa_2	अंतर्-+अंतर्भूत_2	included_4	parg_d
220	aMwar-+aMwarmana˚manana_1	अंतर्-+अंतर्मन˚मनन_1	cogitation_1	_cogitation/NN_u_unknown
221	aMwar-+aMwarmana˚manana˚manA_1	अंतर्-+अंतर्मन˚मनन˚मना_1	preoccupied_1	_preoccupy_v_1
222	aMwar-+aMwarmana˚manana˚manA_2	अंतर्-+अंतर्मन˚मनन˚मना_2	preoccupied_2	parg_d
223	aMwar-+aMwarmuKa_1	अंतर्-+अंतर्मुख_1	introspective_1	_introspective_a_1
224	aMwar-+aMwarrArARtrIya_1	अंतर्-+अंतर्राराष्ट्रीय_1	international_1	_international_a_1
225	aMwar-+aMwarvarwI_1	अंतर्-+अंतर्वर्ती_1	internal_6	_internal_a_1
226	aMwar-+aMwarvarwI_2	अंतर्-+अंतर्वर्ती_2	included_5	_depraved/VBN_u_unknown
227	aMwar-+aMwarvarwI_3	अंतर्-+अंतर्वर्ती_3	included_6	parg_d
228	aMwar-+aMwarvaswu_1	अंतर्-+अंतर्वस्तु_1	substance_1	_rejoinder/NN_u_unknown
229	aMwar-+aMwarvikAsa_1	अंतर्-+अंतर्विकास_1	evolution_1	_evolution_n_1
230	aMwar-+aMwarveSana˚-veSiwa_1	अंतर्-+अंतर्वेशन˚-वेशित_1	interpolated_1	proper_q
231	aMwar-+aMwarveSana˚-veSiwa_2	अंतर्-+अंतर्वेशन˚-वेशित_2	interpolated_2	named
232	aMwar-+aMwarhiwa_1	अंतर्-+अंतर्हित_1	concealed_1	_conceal_v_from
233	aMwar-+aMwarhiwa_2	अंतर्-+अंतर्हित_2	concealed_2	parg_d
234	aMwar-+aMwarhiwa_3	अंतर्-+अंतर्हित_3	secret_2	_secret_a_1
235	aMwara_9	अंतर_9	middle_1	_remedy_n_1
236	aMwara_10	अंतर_10	soul_2	_soul_n_1
237	aMwara_11	अंतर_11	mystery_1	_mystery_n_1
238	aMwara_12	अंतर_12	secret_3	_branch_n_of
239	aMwara_13	अंतर_13	property_1	_property_n_1
240	aMwara_14	अंतर_14	peculiarity_1	_peculiarity_n_1
241	aMwara_15	अंतर_15	distinction_1	_distinction_n_1
242	aMwarawama_1	अंतरतम_1	nearest_1	_near_a_to
243	aMwarawama_2	अंतरतम_2	nearest_2	superl
244	aMwarapata_1	अंतरपट_1	screen_2	_screen_n_1
245	aMwaraviroXa_1	अंतरविरोध_1	antagonism_1	_antagonism/NN_u_unknown
246	aMwaraNa_6	अंतरण_6	displacement_1	_displacement_n_1
247	aMwaraNa_7	अंतरण_7	transference_1	_inaugurate_v_1
248	aMwaraNa_8	अंतरण_8	transference_2	nominalization
249	aMwaraNa_9	अंतरण_9	transfer_1	_transfer_v_1
250	aMwarikRa_3	अंतरिक्ष_3	heavens_1	udef_q
251	aMwarikRa_4	अंतरिक्ष_4	heavens_2	_heaven_n_1
252	aMwarikRa_5	अंतरिक्ष_5	transinvisible_1	_transinvisible/JJ_u_unknown
253	aMwarikRa-maMdala_1	अंतरिक्ष-मंडल_1	universe_1	_universe_n_of
254	aMwarikRa-yAna_1	अंतरिक्ष-यान_1	spacecraft_1	_spacecraft_n_1
255	aMwarikRa-vijFAna˚-vEjFAnika_1	अंतरिक्ष-विज्ञान˚-वैज्ञानिक_1	meteorologist_1	_meteorologist_n_1
256	aMwariwa_1	अंतरित_1	interior_1	_interior_a_to
257	aMwariwa_2	अंतरित_2	hidden_3	_hide_v_away
258	aMwariwa_3	अंतरित_3	hidden_4	parg_d
259	aMwariwa_4	अंतरित_4	shifted_1	_shift_v_1
260	aMwariwa_5	अंतरित_5	shifted_2	parg_d
261	aMwariwa_6	अंतरित_6	transferred_1	_transfer_v_1
262	aMwariwa_7	अंतरित_7	transferred_2	parg_d
263	aMwaS-_1	अंतश्-_1	preinner_1	_preinner/NN_u_unknown
264	aMwas-_1	अंतस्-_1	preinner_2	_preinner/NN_u_unknown
265	aMwas-+aMwaswala_1	अंतस्-+अंतस्तल_1	depth_1	_depth_n_of
266	aMwas-+aMwaswala˚I_1	अंतस्-+अंतस्तल˚ई_1	deepseated_1	_deepseated/VBN_u_unknown
267	aMwas-+aMwaswala˚I_2	अंतस्-+अंतस्तल˚ई_2	deepseated_2	parg_d
268	aMwika_1	अंतिक_1	near_1	_near_a_to
269	aMwya_4	अंत्य_4	last_1	_last_a_1
270	aMwya_5	अंत्य_5	lowest_1	_low_a_1
271	aMwya_6	अंत्य_6	lowest_2	superl
272	aMwya_7	अंत्य_7	state_2	udef_q
273	aMwya_8	अंत्य_8	state_3	_state_n_of
274	aMwyaja_1	अंत्यज_1	untouchable_1	_untouchable/JJ_u_unknown
275	aMxarUna_1	अंदरून_1	interior_2	_interior_n_1
276	aMxarunI_1	अंदरुनी_1	spiritual_1	_spiritual_n_1
277	aMxAjZa_1	अंदाज़_1	guess_1	_guess_n_1
278	aMxAjZa_2	अंदाज़_2	manner_1	_manner_n_of
279	aMxAjZa_3	अंदाज़_3	style_1	_style_n_of
280	aMxAjZa_4	अंदाज़_4	gait_1	_gait/NN_u_unknown
281	aMxAjZa_5	अंदाज़_5	gestures_1	_gesture_n_1
282	aMxAjZa+lagA_1	अंदाज़+लगा_1	conjecture_1	udef_q
283	aMxAjZa+lagA_2	अंदाज़+लगा_2	conjecture_2	_conjecture_n_1
284	aMxAjZa+udZA_1	अंदाज़+उड़ा_1	imitate_1	_imitate_v_1
285	aMxAjZa-pattI_1	अंदाज़-पट्टी_1	f_1	named
286	aMxAjZa-pItI_1	अंदाज़-पीटी_1	f_2	named
287	aMxAjZana_1	अंदाज़न_1	approximately_1	_approximate_a_1
288	aMxeSA_4	अंदेशा_4	reflection_1	_reflection_n_1
289	aMxeSA_5	अंदेशा_5	concern_1	_concern_n_1
290	aMxeSAmaMxa_1	अंदेशामंद_1	anxious_1	_anxious_a_1
291	aMXakAra_3	अंधकार_3	see_1	_see_n_1
292	aMXa-kUpa_1	अंध-कूप_1	blackout_1	_blackout/NN_u_unknown
293	aMXa-kUpa˚wA_1	अंध-कूप˚ता_1	benightedness_1	_benightedness/NN_u_unknown
294	aMXa-KopadZI_1	अंध-खोपड़ी_1	blockheaded_1	_blockheaded/VBN_u_unknown
295	aMXa-KopadZI_2	अंध-खोपड़ी_2	blockheaded_2	parg_d
296	aMXa-prajFA_1	अंध-प्रज्ञा_1	intuition_2	_intuition_n_1
297	aMXakAra_4	अंधकार_4	benightedness_2	_benightedness/NN_u_unknown
298	aMXawA_1	अंधता_1	blindness_1	_blindness_n_1
299	aMXawA_2	अंधता_2	benightedness_3	_benightedness/NN_u_unknown
300	aMXawA_3	अंधता_3	folly_1	_folly_n_1
301	aMXA+xarabAra_1	अंधा+दरबार_1	misgovernment_1	_misgovernment/NN_u_unknown
302	aMXA-kuppa_1	अंधा-कुप्प_1	blackout_2	udef_q
303	aMXA-kuppa_2	अंधा-कुप्प_2	blackout_3	_blackout/NN_u_unknown
304	aMXA-XuMXa_1	अंधा-धुंध_1	headlong_1	_headlong/JJ_u_unknown
305	aMXA-XuMXa_2	अंधा-धुंध_2	violence_1	udef_q
306	aMXA-XuMXa_3	अंधा-धुंध_3	violence_2	_violence_n_1
307	aMXAXuMXajamA_1	अंधाधुंधजमा_1	belabour_1	udef_q
308	aMXAXuMXajamA_2	अंधाधुंधजमा_2	belabour_2	_belabour/NN_u_unknown
309	aMXApana_4	अंधापन_4	dimness_1	_dimness/NN_u_unknown
310	azXiyArI_1	अँधियारी_1	darkness_1	_darkness_n_1
311	azXiyArI_2	अँधियारी_2	storm_1	_storm_n_1
312	azXiyAva_1	अँधियाव_1	reg_1	_reg/NN_u_unknown
313	azXera_1	अँधेर_1	injustice_1	_rejoinder/NN_u_unknown
314	azXera_2	अँधेर_2	lawlessness_1	_lawlessness/NN_u_unknown
315	azXerA_3	अँधेरा_3	shadow_1	_shadow_n_1
316	azXerA_4	अँधेरा_4	haze_1	_haze_n_1
317	azXerA+kara_1	अँधेरा+कर_1	darken_1	_darken_v_1
318	azXerA+kara_2	अँधेरा+कर_2	extinguish_1	_extinguish_v_1
319	azXerI_1	अँधेरी_1	darkness_2	_darkness_n_1
320	aMbaka_1	अंबक_1	eye_1	_eye_n_1
321	aMbara_5	अंबर_5	clothing_1	_clothing_n_1
322	aMbara_6	अंबर_6	clouds_1	_cloud_n_of
323	aMbara_7	अंबर_7	perfume_1	_perfume_n_1
324	aMbara_8	अंबर_8	ambergris_1	_ambergris/NN_u_unknown
325	aMbA_1	अंबा_1	mother_1	_mother_n_of
326	aMbAra_4	अंबार_4	store_1	_store_n_1
327	aMbAra_5	अंबार_5	storehouse_1	_storehouse_n_1
328	aMbAra_6	अंबार_6	granary_1	_granary/NN_u_unknown
329	aMbupawi_1	अंबुपति_1	ocean_1	_light_n_1
330	aMboha_1	अंबोह_1	abundance_1	_abundance_n_1
331	aMSa_9	अंश_9	portion_1	_portion_n_of
332	aMSa_10	अंश_10	section_1	_section_n_of
333	aMSa_11	अंश_11	inheritance_1	_inheritance_n_of
334	aMSa_12	अंश_12	fee_1	_fee_n_1
335	aMSa_13	अंश_13	temperature_1	_temperature_n_of
336	aMSa_14	अंश_14	numerator_1	_numerator/NN_u_unknown
337	aMSa_15	अंश_15	strength_1	_strength_n_1
338	aMSa-xAwAM_1	अंश-दातां_1	contributor_1	_contributor/NN_u_unknown
339	aMSa-xAwAM˚xAna˚xAyI_1	अंश-दातां˚दान˚दायी_1	contributory_1	_contributory/JJ_u_unknown
340	aMSaXArI_1	अंशधारी_1	shareholder_1	_shareholder_n_1
341	aMSaXArI_2	अंशधारी_2	incarnation_1	_incarnation/NN_u_unknown
342	aMSAMkana_1	अंशांकन_1	calibrating_1	_calibrate_v_1
343	aMSAMkana_2	अंशांकन_2	calibrating_2	nominalization
344	aMSaka_1	अंशक_1	share_1	_share_n_of
345	aMSaka_2	अंशक_2	shareholder_2	_shareholder_n_1
346	aMSumAlI_1	अंशुमाली_1	sun_1	_sun_n_1
347	a-_1	अ-_1	wrong_1	_wrong_n_1
348	a-+abAra_1	अ-+अबार_1	delay_1	_delay_n_1
349	akaMtaka_4	अकंटक_4	unimpeded_1	_unimpeded/VBN_u_unknown
350	akaMtaka_5	अकंटक_5	unimpeded_2	parg_d
351	akaMpana_1	अकंपन_1	firmness_1	udef_q
352	akaMpana_2	अकंपन_2	firmness_2	_firmness_n_1
353	akaMpana_3	अकंपन_3	steadiness_1	udef_q
354	akaMpana_4	अकंपन_4	steadiness_2	_steadiness/NN_u_unknown
355	akaMpiwa_1	अकंपित_1	unshaken_1	udef_q
356	akaMpiwa_2	अकंपित_2	unshaken_2	_greet_v_1
357	akaMpiwa_3	अकंपित_3	unshaken_3	nominalization
