	id	sentence	linearization
10	Hin_Geo_ncert_10stnd_1ch_0020	uxAharaNArWa, cattAne Ora XAwuez.	(Ora_1:ccof(cattAne_1):ccof(XAwu_1:attr_gen(f):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
11	Hin_Geo_ncert_10stnd_1ch_0021	samApyawA ke AXAra para.	(AXAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(samApyawA_1):CLAUSE_TYPE(affirmative))
12	Hin_Geo_ncert_10stnd_1ch_0023	uxAharaNArWa, sOra waWA pavana UrjA, jala, vana va vanya jIvana.	(va_1:ccof(waWA_1:ccof(sOra:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(uxAharaNArWa_1)):ccof(vana:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(pavana_1:attr_ne(org):attr_gen(f):attr_num(sg):attr_per(a)):pof__cn(UrjA_1:attr_gen(f):attr_num(sg):attr_per(a)):pof__cn(jala_1:attr_gen(m):attr_num(sg):attr_per(a)))):ccof(jIvana_1:attr_gen(m):attr_num(sg):attr_per(a):mod(vanya_1)):CLAUSE_TYPE(affirmative))
13	Hin_Geo_ncert_10stnd_1ch_0025	anavIkaraNa yogya saMsAXana - ina saMsAXanoM kA vikAsa eka laMbe BU-vEjFAnika aMwarAla meM howA hE.	(ho_1:TAM(wA_hE_1):k1(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a)):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):mod(yogya_1:mod(anavIkaraNa_1)):nmod__adj(yaha))):k7(aMwarAla_1:attr_gen(m):attr_num(sg):attr_per(a):card(eka_1):mod(laMbA_1:mod(BUvEjFAnika_1))):CLAUSE_TYPE(affirmative))
14	Hin_Geo_ncert_10stnd_1ch_0026	Kanija Ora jIvASma IMXana isa prakAra ke saMsAXanoM ke uxAharaNa hEM.	(hE_1:TAM(0_hE_1):k1(IMXana_1:attr_gen(m):attr_num(sg):attr_per(a):r6(Ora_1:ccof(Kanija_1:attr_gen(m):attr_num(sg):attr_per(a)):ccof(jIvASma_1))):k1s(uxAharaNa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):r6(prakAra_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)))):CLAUSE_TYPE(affirmative))
15	Hin_Geo_ncert_10stnd_1ch_0027	inake banane meM lAKoM varRa laga jAwe hEM.	(laga_1:TAM(wA_hE_1):k7(bana_1-yA_1-yA_1:k1(yaha:attr_gen(-):attr_num(pl):attr_per(a))):k1(varRa_1:attr_gen(m):attr_num(sg):attr_per(a):card(lAKa_1)):CLAUSE_TYPE(affirmative))
16	Hin_Geo_ncert_10stnd_1ch_0029	svAmiwva ke AXAra para.	(AXAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(svAmiwva_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
17	Hin_Geo_ncert_10stnd_1ch_0030	vyakwigawa saMsAXana - saMsAXana nijI vyakwiyoM ke svAmiwva meM BI howe hEM.	(ho_1:TAM(wA_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k1(saMsAXana_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(saMsAXana_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):pof__cn(vyakwigawa_1)):k7(svAmiwva_1:r6(vyakwi_1:attr_gen(m):attr_num(sg):attr_per(a):mod(nijI_1:attr_gen(m):attr_num(sg):attr_per(a))):lwg__rp(BI_1:attr_gen(m):attr_num(pl):attr_per(a))):CLAUSE_TYPE(affirmative))
18	Hin_Geo_ncert_10stnd_1ch_0033	SaharoM meM loga BUKaMda, GaroM va anya jAyaxAxa ke mAlika howe hEM.	(ho_1:TAM(wA_hE_1):k7p(Sahara_1:attr_gen(m):attr_num(pl):attr_per(a)):k1(loga_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(BUKaMda_1:attr_gen(m):attr_num(sg):attr_per(a)):k1s(mAlika_1:attr_gen(m):attr_num(sg):attr_per(a):r6(va_1:ccof(Gara_1:attr_gen(m):attr_num(pl):attr_per(a)):ccof(jAyaxAxa_1:attr_gen(f):attr_num(sg):attr_per(a):mod(anya_1)))):CLAUSE_TYPE(affirmative))
19	Hin_Geo_ncert_10stnd_1ch_0034	bAga, cArAgAha, wAlAba Ora kuCaoM kA jala Axi saMsAXanoM ke nijI svAmiwva ke kuCa uxAharaNa hEM.	(hE_1:TAM(0_hE_1):k1(uxAharaNa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(svAmiwva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):r6(Ora_1:ccof(wAlAba_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(cArAgAha:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(bAga_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)))):ccof(jala_1:attr_gen(m):attr_num(sg):attr_per(a):r6(kuCaoM):lwg__rp(Axi_1)))):mod(nijI_1:attr_ne(per))):nmod__adj(kuCa_1)):CLAUSE_TYPE(affirmative))
20	Hin_Geo_ncert_10stnd_1ch_0035	apane parivAra ke saMsAXanoM kI eka sUcI wEyAra kIjie.	(wEyAra+kara_1:TAM(ie_1):k2(sUcI_1:attr_gen(f):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):r6(parivAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(apanA:attr_gen(-):attr_num(sg):attr_per(u)))):card(eka_1)):CLAUSE_TYPE(affirmative))
21	Hin_Geo_ncert_10stnd_1ch_0036	sAmuxAyika svAmiwva vAle saMsAXana - ye saMsAXana samuxAya ke saBI saxasyoM ko upalabXa howe hEM.	(upalabXa+ho_1:TAM(wA_hE_1):k4(saxasya_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(saba_1)):CLAUSE_TYPE(affirmative))
22	Hin_Geo_ncert_10stnd_1ch_0038	rARtrIya saMsAXana - wakanIkI wOra para xeSa meM pAye jAne vAle sAre saMsAXana rARtrIya hEM.	(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k1s(rARtrIya_1):k1(saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(saMsAXana_1:nmod(pA_1-yA_1-yA_1:attr_gen(m):attr_num(sg):attr_per(a):k7(wOra_1:mod(wakanIkI_1:attr_gen(m):attr_num(sg):attr_per(a))):k7p(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a))):nmod__adj(sArA_1:attr_ne(org))):k1s(rARtrIya_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
23	Hin_Geo_ncert_10stnd_1ch_0041	SaharI vikAsa prAXikaraNoM ko sarakAra ne BUmi aXigrahaNa kA aXikAra xiyA huA hE.	(aXikAra+xe_1:TAM(0_hE_1):k4(vikAsa_1+prAXikaraNa_1:pof__cn(SaharI_1)):k1(sarakAra_1:attr_gen(f):attr_num(sg):attr_per(a)):k2(BUmi_1+aXigrahaNa_1):CLAUSE_TYPE(affirmative))
24	Hin_Geo_ncert_10stnd_1ch_0043	aMwarrARtrIya saMsAXana - kuCa aMwarrARtrIya saMsWAez saMsAXanoM ko niyaMwriwa karawI hEM.	(niyaMwriwa+kara:TAM(wA_hE_1):attr_gen(f):attr_num(pl):attr_per(a):k2(saMsAXana_1):k1(saMsWA_1:mod(aMwarrARtrIya_1):nmod__adj(kuCa_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(aMwarrARtrIya_1)):k2(saMsAXana_1):CLAUSE_TYPE(affirmative))
25	Hin_Geo_ncert_10stnd_1ch_0044	wata reKA se 200 samuxrI mIla kI xUrI (apavarjaka ArWika kRewra) se pare Kule mahAsAgarIya saMsAXanoM para kisI xeSa kA aXikAra nahIM hE.	(hE_1:TAM(0_hE_1):k5(wata+reKA_1):k1(xUrI_1:attr_gen(f):attr_num(sg):attr_per(a):r6(mIla_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):card(200_1):mod(samuxrI_1))):k7p(kRewra_1:attr_gen(m):attr_num(sg):attr_per(a):mod(apavarjaka_1:mod(ArWika_1))):k7(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):mod(Kula_1:mod(mahAsAgarIya_1))):k1(aXikAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(koI:attr_gen(-):attr_num(sg):attr_per(a)))):neg(nahIM_1):CLAUSE_TYPE(negative))
26	Hin_Geo_ncert_10stnd_1ch_0045	ina saMsAXanoM ko aMwarrARtrIya saMsWAoM kI sahamawi ke binA upayoga nahIM kiyA jA sakawA.	(upayoga+kara_1:TAM(yA_1):k2(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(yaha)):ras-neg(sahamawi_1:attr_gen(f):attr_num(sg):attr_per(a):r6(saMsWA_1:attr_gen(f):attr_num(pl):attr_per(a):mod(aMwarrARtrIya_1)):lwg__rp(binA_1)):neg(nahIM_1):CLAUSE_TYPE(negative))
27	Hin_Geo_ncert_10stnd_1ch_0046	vikAsa ke swara ke AXAra para.	(AXAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(swara_1:attr_gen(m):attr_num(sg):attr_per(a):r6(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
28	Hin_Geo_ncert_10stnd_1ch_0050	saMsAXanoM kA vikAsa prOxyogikI Ora unakI saMBAvyawA ke swara para nirBara karawA hE.	(nirBara+kara:TAM(wA_hE_1):k7(swara_1:attr_gen(m):attr_num(sg):attr_per(a):r6(Ora_1:ccof(vikAsa_1+prOxyogikI_1:r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a))):ccof(saMBAvyawA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(vaha:attr_gen(-):attr_num(pl):attr_per(a))))):CLAUSE_TYPE(affirmative))
29	Hin_Geo_ncert_10stnd_1ch_0055	inakA upayoga BaviRya meM AvaSyakawA pUrwi ke lie kiyA jA sakawA hE.	(upayoga+kara_1:TAM(0_sakawA_hE_1):r6(yaha:attr_gen(-):attr_num(pl):attr_per(a)):k7(BaviRya_1:attr_gen(m):attr_num(sg):attr_per(a)):k2(AvaSyakawA_1:attr_gen(f):attr_num(sg):attr_per(a)):rt(pUrwi_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
30	Hin_Geo_ncert_10stnd_1ch_0058	saMsAXanoM kA vikAsa.	(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
31	Hin_Geo_ncert_10stnd_1ch_0062	kuCa vyakwiyoM ke lAlacavaSa saMsAXanoM kA hvAsa.	(hvAsa_1:r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):r6(vyakwi_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(kuCa_1)):mod(lAlacavaSa_1)):CLAUSE_TYPE(affirmative))
32	Hin_Geo_ncert_10stnd_1ch_0067	isalie, hara waraha ke jIvana kA aswiwva banAe raKane ke lie saMsAXanoM ke upayoga kI yojanA banAnA awi AvaSyaka hE.	(hE_1:TAM(0_hE_1):rh(isalie):k1(banA_1-yA_1yA_1-yA_1yA_1):k1(banA_1-yA_1-yA_1:k2(aswiwva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(jIvana_1:attr_gen(m):attr_num(sg):attr_per(a):r6(waraha_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(hara_1)))):k2(yojanA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(upayoga_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a))))):mod(AvaSyaka_1:jjmod__intf(awi_1)):CLAUSE_TYPE(affirmative))
33	Hin_Geo_ncert_10stnd_1ch_0068	sawaw aswiwva sahI arWa meM sawaw poRaNIya vikAsa kA hI eka hissA hE.	(hE_1:TAM(0_hE_1):k1(aswiwva_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(arWa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(sahI_1)):k1s(hissA_1:attr_gen(m):attr_num(sg):attr_per(a):r6(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(sawaw_1):pof__cn(sawaw_1):mod(poRaNIya_1):lwg__rp(hI_1)):card(eka_1)):CLAUSE_TYPE(affirmative))
34	Hin_Geo_ncert_10stnd_1ch_0069	sawaw poRaNIya vikAsa.	(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(sawaw_1):pof__cn(poRaNIya_1):CLAUSE_TYPE(affirmative))
35	Hin_Geo_ncert_10stnd_1ch_0071	riyo dI jenero pqWvI sammelana, 1992.	(1992:nmod__adj(sammelana_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(pqWvI_1:attr_gen(f):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
36	Hin_Geo_ncert_10stnd_1ch_0073	sammelana kA Ayojana viSva swara para uBarawe paryAvaraNa saMrakRaNa Ora sAmAjika-ArWika vikAsa kI samasyAoM kA hala DUzDane ke lie kiyA gayA WA.	(Ayojana+kara_1:TAM(yA_gayA_WA_1):r6(sammelana_1:attr_gen(m):attr_num(sg):attr_per(a)):rt(DUzDa_1-yA_1-yA_1:k7(viSva_1+swara_1):k2(hala_1:attr_gen(m):attr_num(sg):attr_per(a):k2(samasyA_1:attr_gen(f):attr_num(pl):attr_per(a):nmod(Ora_1:ccof(paryAvaraNa_1+saMrakRaNa_1:mod(uBara_1)):ccof(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(sAmAjikaArWika_1)))))):CLAUSE_TYPE(affirmative))
37	Hin_Geo_ncert_10stnd_1ch_0074	isa sammelana meM ekawriwa newAoM ne BUmaMdalIya jalavAyu parivarwana Ora jEvika viviXawA para eka GoRaNA pawra para haswAkRara kiyA.	(haswAkRara+kara_1:TAM(yA_1):k7(sammelana_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)):k1(newA_1:attr_gen(m):attr_num(pl):attr_per(a):mod(ekawriwa_1)):k7(Ora_1:ccof(jalavAyu_1+parivarwana_1:mod(BUmaMdalIya_1)):ccof(viviXawA_1:attr_gen(f):attr_num(sg):attr_per(a):mod(jEvika_1))):k2(GoRaNA_1:attr_gen(f):attr_num(sg):attr_per(a):card(eka_1)):k7(pawra_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
38	Hin_Geo_ncert_10stnd_1ch_0078	isakA uxxeSya BUmaMdalIya sawaw poRaNIya vikAsa hAsila karanA hE.	(hAsila+kara_1:TAM(nA_hE_1):k1(uxxeSya_1:attr_gen(m):attr_num(sg):attr_per(a):r6(yaha:attr_gen(-):attr_num(sg):attr_per(a))):k2(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(BUmaMdalIya_1):pof__cn(sawaw_1):mod(poRaNIya_1)):CLAUSE_TYPE(affirmative))
39	Hin_Geo_ncert_10stnd_1ch_0081	saMsAXanoM ke vivekapUrNa upayoga ke lie niyojana eka sarvamAnya raNanIwi hE.	(hE_1:TAM(0_hE_1):rt(upayoga_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(vivekapUrNa_1)):k1(niyojana_1:attr_gen(m):attr_num(sg):attr_per(a)):k1s(raNanIwi_1:attr_gen(f):attr_num(sg):attr_per(a):card(eka_1):mod(sarvamAnya_1)):CLAUSE_TYPE(affirmative))
40	Hin_Geo_ncert_10stnd_1ch_0085	uxAharaNArWa , JAraKaMda, maXyapraxeSa Ora CawwIsagaDZa Axi prAMwoM meM KanijoM Ora koyale ke pracura BaMdAra hEM.	(hE_1:TAM(0_hE_1):sent-adv(uxAharaNArWa_1):k1(JAraKaMda:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7p(prAMwa_1):k1(BaMdAra_1:attr_gen(m):attr_num(pl):attr_per(a):r6(Ora_1):r6(Ora_1:attr_gen(m):attr_num(pl):attr_per(a):ccof(maXyapraxeSa:attr_gen(m):attr_num(sg):attr_per(a)):ccof(CawwIsagaDZa:lwg__rp(Axi_1:attr_gen(m):attr_num(sg):attr_per(a))):ccof(Kanija_1:attr_gen(m):attr_num(pl):attr_per(a)):ccof(koyalA_1)):mod(pracura_1)):CLAUSE_TYPE(affirmative))
41	Hin_Geo_ncert_10stnd_1ch_0088	laxxAKa kA SIwa marusWala xeSa ke anya BAgoM se alaga-Walaga padZawA hE.	(alagaWalaga_1:TAM(wA_hE_1):k1(marusWala_1:attr_gen(m):attr_num(sg):attr_per(a):r6(laxxAKa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):mod(SIwa_1:attr_gen(f):attr_num(sg):attr_per(a))):k5(BAga_1:attr_gen(m):attr_num(pl):attr_per(a):r6(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(anya_1)):CLAUSE_TYPE(affirmative))
42	Hin_Geo_ncert_10stnd_1ch_0090	isalie rARtrIya prAMwIya prAxeSika Ora sWAnIya swara para saMwuliwa saMsAXana niyojana kI AvaSyakawA hE.	(hE_1:TAM(0_hE_1):rh(isalie):k7(swara_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(Ora_1:mod(prAxeSika_1:pof__cn(rARtrIya_1):pof__cn(prAMwIya_1)):mod(sWAnIya_1))):k1(AvaSyakawA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(saMsAXana_1+niyojana_1:pof__cn(saMwuliwa_1))):CLAUSE_TYPE(affirmative))
43	Hin_Geo_ncert_10stnd_1ch_0093	xeSa ke viBinna praxeSoM meM saMsAXanoM kI pahacAna kara unakI wAlikA banAnA.	(banA_1:TAM(yA_1):vmod(pahacAna+kara_1:k7p(praxeSa_1:attr_gen(m):attr_num(pl):attr_per(a):r6(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(viBinna_1)):k2(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a))):k2(wAlikA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(vaha:attr_gen(-):attr_num(pl):attr_per(a))):CLAUSE_TYPE(affirmative))
44	Hin_Geo_ncert_10stnd_1ch_0094	isa kArya meM kRewrIya sarvekRaNa, mAnaciwra banAnA Ora saMsAXanoM kA guNAwmaka evaM mAwrAwmaka anumAna lagAnA va mApana karanA hE.	(Ora_1:ccof(banA_1-yA_1-yA_1:k7(kArya_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(yaha)):k2(sarvekRaNa_1+mAnaciwra_1:mod(kRewrIya_1))):ccof(va_1:ccof(lagA_1-yA_1-yA_1:k2(anumAna_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a)):nmod(evaM_1:mod(guNAwmaka_1):mod(mAwrAwmaka_1)))):ccof(mApana+kara-nA_hE_1)):CLAUSE_TYPE(affirmative))
45	Hin_Geo_ncert_10stnd_1ch_0096	saMsAXana vikAsa yojanAoM Ora rARtrIya vikAsa yojanA meM samanvaya sWApiwa karanA.	(sWApiwa+kara_1:TAM(yA_1):attr_gen(f):attr_num(sg):attr_per(a):k7(Ora_1:attr_gen(f):attr_num(sg):attr_per(a):ccof(yojanA_1:attr_gen(m):attr_num(sg):attr_per(a)):ccof(yojanA:pof__cn(saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(vikAsa_1):pof__cn(rARtrIya_1):pof__cn(vikAsa_1))):k2(samanvaya_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
46	Hin_Geo_ncert_10stnd_1ch_0097	svAXInawA ke bAxa BArawa meM saMsAXana niyojana ke uxxeSya kI pUrwi ke lie praWama paMcavarRIya yojanA se hI prayAsa kie gae.	(prayAsa+kara_1:TAM(yA_1):k7t(svAXInawA_1:attr_gen(f):attr_num(sg):attr_per(a)):k7p(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):rt(pUrwi_1:attr_gen(f):attr_num(sg):attr_per(a):r6(uxxeSya_1:attr_gen(m):attr_num(sg):attr_per(a):r6(saMsAXana_1+niyojana_1))):k2(yojanA_1:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(praWama_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(paMcavarRIya_1):lwg__rp(hI_1)):CLAUSE_TYPE(affirmative))
47	Hin_Geo_ncert_10stnd_1ch_0098	kisI kRewra ke vikAsa ke lie saMsAXanoM kI upalabXawA eka AvaSyaka Sarwa hE.	(hE_1:TAM(0_hE_1):rt(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(kRewra_1:attr_gen(m):attr_num(sg):attr_per(a):mod(koI:attr_gen(-):attr_num(sg):attr_per(a)))):k1(upalabXawA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a))):k1s(Sarwa_1:attr_gen(f):attr_num(sg):attr_per(a):card(eka_1):mod(AvaSyaka_1)):CLAUSE_TYPE(affirmative))
48	Hin_Geo_ncert_10stnd_1ch_0099	paraMwu prOxyogikI Ora saMsWAoM meM waxanarUpI parivarwanoM ke aBAva meM mAwra saMsAXanoM kI upalabXawA se hI vikAsa saMBava nahIM hE.	(paraMwu_1:ccof(hE_1-0_hE_1-0_hE_1:k7(Ora_1:ccof(prOxyogikI_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(saMsWA_1:attr_gen(f):attr_num(pl):attr_per(a))):k7(aBAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(parivarwana_1:attr_gen(m):attr_num(pl):attr_per(a):mod(waxanarUpI_1))):rh(upalabXawA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(saMsAXana_1:attr_gen(m):attr_num(pl):attr_per(a):mod(mAwra_1)):lwg__rp(hI_1)):k1(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(saMBava_1):neg(nahIM_1)):CLAUSE_TYPE(negative))
49	Hin_Geo_ncert_10stnd_1ch_0103	EsI parisWiwi hone ke kAraNa bawAez.	(bawA_1:rh(ho_1-yA_1-yA_1:k1(parisWiwi_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(EsA))):CLAUSE_TYPE(affirmative))
50	Hin_Geo_ncert_10stnd_1ch_0107	upaniveSana ke viBinna caraNoM meM BArawa ne ina sabakA anuBava kiyA hE.	(anuBava+kara_1:TAM(yA_hE_1):k7(caraNa_1:attr_gen(m):attr_num(pl):attr_per(a):r6(upaniveSana:attr_gen(m):attr_num(sg):attr_per(a)):mod(viBinna_1)):k1(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(yaha):k2(saba:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
51	Hin_Geo_ncert_10stnd_1ch_0109	saMsAXanoM kA saMrakRaNa - saMsAXana kisI BI waraha ke vikAsa meM mahawwvapUrNa BUmikA niBAwe hEM.	(niBA_1:TAM(wA_hE_1):k1(saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(saMrakRaNa_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(vikAsa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(waraha_1:attr_gen(m):attr_num(sg):attr_per(a):mod(koI:attr_gen(-):attr_num(sg):attr_per(a):lwg__rp(BI_1)))):k2(BUmikA_1:attr_gen(f):attr_num(sg):attr_per(a):mod(mahawwvapUrNa_1)):CLAUSE_TYPE(affirmative))
